,id,title,genres
58,tm77319,Santa Fe Trail,war
58,tm77319,Santa Fe Trail,drama
58,tm77319,Santa Fe Trail,history
58,tm77319,Santa Fe Trail,romance
59,tm17383,Dick Tracy,action
59,tm17383,Dick Tracy,crime
59,tm17383,Dick Tracy,thriller
59,tm17383,Dick Tracy,family
60,tm50402,Woman on the Run,drama
60,tm50402,Woman on the Run,crime
60,tm50402,Woman on the Run,thriller
61,tm88502,Life with Father,comedy
61,tm88502,Life with Father,family
62,tm62593,Nothing Sacred,romance
62,tm62593,Nothing Sacred,drama
62,tm62593,Nothing Sacred,fantasy
62,tm62593,Nothing Sacred,comedy
63,tm85417,Penny Serenade,romance
63,tm85417,Penny Serenade,drama
64,tm4525,He Walked by Night,thriller
64,tm4525,He Walked by Night,crime
65,tm5051,Algiers,drama
65,tm5051,Algiers,romance
66,tm7107,Louisiana Story,drama
67,tm118203,Jack London,drama
67,tm118203,Jack London,war
67,tm118203,Jack London,romance
68,tm100333,Broken Blossoms,romance
68,tm100333,Broken Blossoms,drama
69,tm109275,Dr. Jekyll and Mr. Hyde,horror
69,tm109275,Dr. Jekyll and Mr. Hyde,scifi
69,tm109275,Dr. Jekyll and Mr. Hyde,drama
70,tm142410,The Pleasure Garden,romance
70,tm142410,The Pleasure Garden,drama
71,tm61613,Too Late for Tears,crime
71,tm61613,Too Late for Tears,thriller
71,tm61613,Too Late for Tears,drama
72,tm61597,Trapped,thriller
72,tm61597,Trapped,crime
72,tm61597,Trapped,drama
73,tm131025,Mother,drama
74,tm127199,Orphans of the Storm,drama
74,tm127199,Orphans of the Storm,history
74,tm127199,Orphans of the Storm,romance
75,tm91719,Let There Be Light,war
75,tm91719,Let There Be Light,documentation
76,tm90549,The Red House,thriller
76,tm90549,The Red House,horror
76,tm90549,The Red House,drama
77,tm87103,Robin Hood,romance
77,tm87103,Robin Hood,family
78,tm72646,The Hurricane,drama
78,tm72646,The Hurricane,romance
78,tm72646,The Hurricane,action
80,tm3083,The Memphis Belle: A Story of a Flying Fortress,war
80,tm3083,The Memphis Belle: A Story of a Flying Fortress,documentation
80,tm3083,The Memphis Belle: A Story of a Flying Fortress,history
81,tm17025,The Cat and the Canary,comedy
81,tm17025,The Cat and the Canary,thriller
81,tm17025,The Cat and the Canary,horror
82,tm113262,These Three,romance
82,tm113262,These Three,drama
83,tm90149,Smash-Up: The Story of a Woman,drama
83,tm90149,Smash-Up: The Story of a Woman,music
83,tm90149,Smash-Up: The Story of a Woman,romance
84,tm4412,Submarine Warfare,war
84,tm4412,Submarine Warfare,documentation
85,tm67825,Impact,thriller
85,tm67825,Impact,crime
85,tm67825,Impact,drama
86,tm5493,The Amazing Mr. X,thriller
86,tm5493,The Amazing Mr. X,horror
87,tm72394,The Green Hornet,crime
87,tm72394,The Green Hornet,drama
87,tm72394,The Green Hornet,family
87,tm72394,The Green Hornet,scifi
87,tm72394,The Green Hornet,thriller
88,tm16924,College,comedy
88,tm16924,College,drama
88,tm16924,College,sport
89,tm82402,The Devil Bat,horror
89,tm82402,The Devil Bat,scifi
90,tm158,A Song Is Born,music
90,tm158,A Song Is Born,action
90,tm158,A Song Is Born,comedy
90,tm158,A Song Is Born,romance
91,ts55748,What's My Line?,reality
91,ts55748,What's My Line?,family
92,tm87277,The Headless Horseman,horror
92,tm87277,The Headless Horseman,comedy
92,tm87277,The Headless Horseman,drama
93,tm112752,Sherlock Holmes and the Secret Weapon,thriller
93,tm112752,Sherlock Holmes and the Secret Weapon,crime
93,tm112752,Sherlock Holmes and the Secret Weapon,drama
94,tm137796,The Kennel Murder Case,crime
95,tm15689,The Woman in Green,thriller
95,tm15689,The Woman in Green,crime
95,tm15689,The Woman in Green,drama
96,tm15954,Wonder Man,fantasy
96,tm15954,Wonder Man,comedy
97,tm131957,At War with the Army,comedy
97,tm131957,At War with the Army,war
98,tm88605,Fear in the Night,thriller
98,tm88605,Fear in the Night,crime
98,tm88605,Fear in the Night,drama
99,tm16906,San Pietro,war
99,tm16906,San Pietro,documentation
100,tm165392,Becky Sharp,drama
100,tm165392,Becky Sharp,romance
100,tm165392,Becky Sharp,war
101,tm163014,Gulliver's Travels,action
101,tm163014,Gulliver's Travels,animation
101,tm163014,Gulliver's Travels,family
101,tm163014,Gulliver's Travels,comedy
101,tm163014,Gulliver's Travels,fantasy
101,tm163014,Gulliver's Travels,romance
102,tm67142,The Inspector General,romance
102,tm67142,The Inspector General,comedy
103,tm131928,The Vampire Bat,horror
103,tm131928,The Vampire Bat,thriller
103,tm131928,The Vampire Bat,drama
103,tm131928,The Vampire Bat,romance
103,tm131928,The Vampire Bat,scifi
104,tm53436,Svengali,horror
104,tm53436,Svengali,fantasy
104,tm53436,Svengali,drama
104,tm53436,Svengali,romance
104,tm53436,Svengali,scifi
105,tm83000,Pot o' Gold,romance
105,tm83000,Pot o' Gold,comedy
106,tm88304,My Favorite Brunette,thriller
106,tm88304,My Favorite Brunette,crime
106,tm88304,My Favorite Brunette,romance
106,tm88304,My Favorite Brunette,comedy
107,tm106125,Within Our Gates,drama
107,tm106125,Within Our Gates,romance
108,tm107014,Way Down East,romance
108,tm107014,Way Down East,drama
109,tm115008,Ghosts on the Loose,comedy
109,tm115008,Ghosts on the Loose,action
109,tm115008,Ghosts on the Loose,thriller
110,tm64701,My Foolish Heart,drama
110,tm64701,My Foolish Heart,romance
111,tm89053,Terror by Night,thriller
111,tm89053,Terror by Night,drama
111,tm89053,Terror by Night,crime
112,tm84810,Till the Clouds Roll By,music
113,tm83280,King of the Zombies,comedy
113,tm83280,King of the Zombies,horror
114,tm101000,Our Daily Bread,romance
114,tm101000,Our Daily Bread,drama
115,tm105223,Judge Priest,comedy
115,tm105223,Judge Priest,drama
